"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SOURCELIBRARY";"SPICEPREFIX";"VALUE";"VENDOR";
"R8";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"R";"";"";
"R10";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"R";"";"";
"R11";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"R";"";"";
"R12";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"R";"";"";
"R13";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"R";"";"";
"R14";"22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"R";"";"";
"R15";"22";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"R";"";"";
"RPI";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"SERIAL";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";
"SWD";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";
"U1";"STM32";"STM32F405RGT6W";"LQFP64-10X10MM";"";"EMA_UL_Team";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"STM32F405RGT6W";"";"";"";"";"";"";"";"STMicroelectronics_2020-10-07";"";"";"STMicroelectronics";
"U2";"IMU";"ICM-20948";"QFN24_3X3X0P9_IVS";"";"EMA_Cory";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://invensense.tdk.com/wp-content/uploads/2016/06/DS-000189-ICM-20948-v1.3.pdf?ref_disty=digikey";"";"";"";"ICM-20948";"";"";"";"";"";"";"";"InvenSense_2020-09-29";"";"";"InvenSense";
